"Date","Time","Open","High","Low","Close","Volume"
08/29/2014,0934,102.67,102.78,102.67,102.74,196562
08/29/2014,0935,102.74,102.76,102.7,102.76,124446
08/29/2014,0936,102.74,102.77,102.61,102.63,216995
08/29/2014,0937,102.62,102.76,102.62,102.74,158827
08/29/2014,0938,102.74,102.75,102.68,102.72,139106
08/29/2014,0939,102.73,102.76,102.7,102.73,134732
08/29/2014,0940,102.75,102.75,102.66,102.7,179832
08/29/2014,0941,102.7,102.7,102.56,102.63,243359
08/29/2014,0942,102.63,102.7,102.59,102.6,220136
08/29/2014,0943,102.6,102.66,102.59,102.65,153612
08/29/2014,0944,102.65,102.68,102.62,102.64,108596
08/29/2014,0945,102.64,102.65,102.61,102.64,88754
08/29/2014,0946,102.65,102.65,102.41,102.47,468186
